id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21850630,New Condo:Near Stadiums/ Downtown w/ Rooftop Patio,12800880,Brooke,,West Colfax,39.73732,-105.05063,Entire home/apt,125,29,61,2021-03-25,0.80,1,89,0,2020-BFN-0005968
21851141,Chic Updated Home,41195268,Kassidy,,Skyland,39.75641,-104.94145,Entire home/apt,,2,4,2022-11-25,0.06,2,0,0,2022-BFN-0004033
21865169,Lux Charmer • Hot Tub • Near Mtns/Red Rocks/DT,9834932,AirSimplicity,,Barnum West,39.72397,-105.04566,Entire home/apt,291,29,266,2023-08-14,3.45,9,196,16,2020-BFN-0000963
21946032,Charming 1904 Victorian in Heart of LoHi Sleeps 6,13466466,Natalie,,Highland,39.76298141479492,-105.02080535888672,Entire home/apt,209,3,138,2024-03-17,1.81,1,157,28,2018-BFN-0007914
21975933,Private Room Shared Bath Capitol Hill Downtown,160449770,Ember,,Capitol Hill,39.7291,-104.98276,Hotel room,180,1,29,2024-01-21,0.41,6,311,1,2017-BFN-0005812
21976300,Shared - 1 Twin Bed in 6 Bed Co-Ed Dorm,160449770,Ember,,Capitol Hill,39.73104,-104.98433,Shared room,45,1,125,2023-10-12,1.62,6,350,13,2017-BFN-0005812
21992685,Shared Room - 1 twin bed in 8 bed Female ONLY dorm,160449770,Ember,,Capitol Hill,39.73084,-104.98442,Shared room,53,1,40,2024-01-29,0.52,6,349,4,2017-BFN-0005812
21998986,Modern 4 Story Home in LoHi with Penthouse Views,16722769,Scotty,,Highland,39.76099,-105.00913,Entire home/apt,464,5,64,2024-03-04,0.84,1,212,4,2018-BFN-0009238
22014975,Modern Rooftop Centrally Located!!!!,49381817,Michael,,Jefferson Park,39.75393,-105.0192,Entire home/apt,250,29,32,2021-08-30,0.43,1,179,0,2018-BFN-0007472
22020424,Entire Apartment in Beautiful Turn of Century Home,94876830,Peter,,Cole,39.76459,-104.96587,Entire home/apt,,30,17,2023-12-31,0.43,1,57,4,
22045549,Modern Townhome at Sloans Lake close to Downtown,51523824,Tanya,,West Colfax,39.741,-105.04671,Entire home/apt,98,29,62,2023-08-25,0.81,1,69,1,
22056178,Upgraded King Bed Private Apt in Congress Park,64249345,Lisa,,City Park,39.74019,-104.94588,Entire home/apt,108,1,447,2024-03-10,6.00,1,336,63,2019-BFN-0001036
22100613,Wash Park Apt - Premium Location Private Entrance,23977016,Ben,,Washington Park,39.70402,-104.9612,Entire home/apt,87,2,310,2024-03-08,4.22,1,51,37,2017-BFN-0009062
22105196,Remote Workers Dream |Townhouse in Heart of Denver,2357897,Max,,Cherry Creek,39.725250244140625,-104.94188690185547,Entire home/apt,,29,6,2018-01-15,0.08,1,0,0,
22119120,Spacious Slohi Garden Level Apt near Sloan's Lake,114888895,Valerie And Ricardo,,West Colfax,39.74205,-105.03741,Private room,98,29,136,2023-10-30,1.81,1,365,10,2019-BFN-0007676
22129989,Luxury Denver Condo With Pool Near Airport,68870931,Elaine,,DIA,39.80133,-104.76943,Entire home/apt,75,30,3,2023-12-31,0.16,1,334,1,
22160234,Downtown Denver High Rise w/balcony City Views!,114407837,Jonathan,,CBD,39.74554,-104.99561,Entire home/apt,82,30,15,2023-05-15,0.22,1,316,1,
22201970,Cap Hill Private Condo. Great Walkability!,16815406,Garrett & Sarah,,Capitol Hill,39.73561,-104.98243,Entire home/apt,79,2,378,2024-02-26,4.95,1,24,46,2017-BFN-0009065
22209112,Hillcrest Mid-Century Modern Gem - Newly Renovated,20988940,James,,Southmoor Park,39.64702,-104.91544,Entire home/apt,290,3,138,2024-01-11,1.81,1,167,6,2023-BFN-0038556
22214871,Near Lake & Downtown / Pet Friendly / Easy MTN ACS,98229149,Perez,,Sloan Lake,39.75621,-105.03321,Entire home/apt,139,30,86,2022-08-07,1.13,1,143,0,
22231253,Hip Bungalow w/yard in Sunnyside/LoHi near DT/MNTS,10989140,Dan And Emily,,Sunnyside,39.77358,-105.02145,Entire home/apt,127,3,280,2024-03-20,3.68,1,218,35,2017-BFN-0009194
22264680,Sleek Highlands Home! Sleeps 16,162690625,Arthur,,Sunnyside,39.77353,-105.00465,Entire home/apt,182,30,132,2023-11-12,1.77,1,324,2,2018-BFN-0001344
