id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
641766241140777161,Stunning Gorgeous and New Home on Cul de Sac,100307715,Juli,,West Roxbury,42.25641,-71.16001,Entire home/apt,280,91,1,2023-06-30,0.11,1,242,1,
641962500819403476,wonderful 2 bedroom apartment Boston Beacon Hill,380623623,Sofia,,Beacon Hill,42.35884,-71.06953,Entire home/apt,130,29,4,2024-01-31,0.43,9,183,4,
641974199506692966,wonderful one bedroom apartment boston,380623623,Sofia,,Beacon Hill,42.358641610959886,-71.06898777351307,Entire home/apt,110,29,1,2023-09-01,0.14,9,112,1,
642574460409151369,Beautiful single family home in Jamaica Plain,2006852,Jay,,Jamaica Plain,42.32172,-71.11131,Entire home/apt,352,29,12,2023-11-13,0.56,18,36,9,STR-466759
642706953473685940,Cheerful 1-bedroom in a home,84349533,Moe,,Hyde Park,42.25022,-71.12842,Private room,70,3,23,2023-10-28,1.05,2,328,6,STR-468015
642948081362358926,Cozy Renovated 2BR/1BA Top Floor Condo w/ Parking,306329570,Jon,,Brighton,42.352,-71.14877,Entire home/apt,120,30,7,2023-12-23,0.35,4,226,4,
642975374430394551,Studio Awaits Your Next Stay!,285344759,Bv,,South End,42.34746763653012,-71.07057352106503,Entire home/apt,96,3,0,,,34,199,0,STR-415225
643244026382581730,"Blueground | Jamaica Plain, w/d, nr t station",107434423,Blueground,,Jamaica Plain,42.3009521,-71.112382,Entire home/apt,,32,0,,,372,2,0,
644007536145129443,New Modern Apt in Boston (3 Bedroom),80808278,Aundre,,Dorchester,42.30009,-71.07765,Entire home/apt,125,29,16,2023-08-28,0.89,1,256,11,STR-482642
644670109338778596,Lovely 4 bed room in boston beacon hill,373675137,Liya,,Beacon Hill,42.360678482410094,-71.06685274276525,Entire home/apt,125,29,2,2023-12-21,0.20,48,143,2,
645001882646487077,2BR DOG-Friendly Apt in 2-Fam Home - Comfy Retreat,463279571,Tomasz,,West Roxbury,42.2938741,-71.1524408,Entire home/apt,225,7,26,2024-02-19,1.26,1,148,21,STR-482028
645528951341127494,td garden apartment apartment in historic west end,163848078,Adam,,West End,42.36409,-71.0638,Entire home/apt,350,29,4,2023-01-27,0.22,92,364,0,Str-006283
647924022015612987,Historic Home with Parking in East Boston,95772002,Matthew,,East Boston,42.38011534792514,-71.03065337603267,Entire home/apt,,3,1,2023-04-20,0.09,1,1,1,STR-522536
648474274324174035,Queen Bedroom B in #429: Mission Hill,297860058,Ferran,,Mission Hill,42.33215,-71.10264,Private room,63,91,0,,,152,85,0,
649070238784628004,Full Bedroom B in #1086: JFK/UMass,297860058,Ferran,,Dorchester,42.31856146279957,-71.05235926883593,Private room,54,91,0,,,152,297,0,
649153675516551663,(T1) Cute & Cozy South End Studio,331225367,Foster,,South End,42.34253,-71.07674,Entire home/apt,139,1,105,2024-03-23,4.85,70,104,47,str-526502
649168191614419436,Queen Bedroom D in #1285: Allston,297860058,Ferran,,Allston,42.35450624645501,-71.13291559554129,Private room,58,91,0,,,152,9,0,
649179671464846978,Full Bedroom D in #977: JFK/UMass,297860058,Ferran,,Dorchester,42.31906228210083,-71.05460688310298,Private room,59,91,0,,,152,332,0,
649227798792183262,Peaceful Fenway 1br w/ Patio | Keyless Entry,275849638,Steven,,Fenway,42.34853335191449,-71.10454676740507,Entire home/apt,173,1,94,2024-03-18,4.39,72,353,54,STR-483056
650580862318364555,Lovely - 1 bed room  Penthouse Suite free parking,44581223,Andre,,Hyde Park,42.25279,-71.11463,Private room,106,29,49,2023-11-05,2.30,5,171,22,STR-445729
650670596271554040,Spacious 2BR 2BA apt in southbay plaza near shops,163848078,Adam,,Dorchester,42.3232,-71.06295,Entire home/apt,449,29,4,2023-05-20,0.19,92,364,2,Str-006826
650779319023665511,"Newly Renovated, 2B 2BA unit with elevator",31340713,Kama,,Roxbury,42.33563,-71.08578,Entire home/apt,,30,12,2023-08-31,1.02,29,0,12,Exempt: This listing is a unit used for furnished institutional or business stays
650804708053927547,"Newly Renovated, 2Bed, 2Bath unit with elevator",266312920,STARS Of,,Roxbury,42.33776,-71.08578,Entire home/apt,,30,3,2023-08-19,0.27,28,0,3,Exempt: This listing is a unit used for furnished institutional or business stays
651321536161383325,Top of the Hill Townhouse,178096049,Sean,,West Roxbury,42.27376,-71.17007,Entire home/apt,234,4,46,2024-03-10,2.23,1,224,30,STR-546115
652014243703538999,Upscale Unit 1 at Perrin Place.,69967323,John,,Roxbury,42.32094,-71.07895,Entire home/apt,194,2,30,2023-11-26,1.71,6,49,25,STR-545899
652688151257540112,"Welcome to a BetterPlace2Stay in Boston, MA.",464995389,Anthony,,Dorchester,42.28708,-71.06176,Entire home/apt,225,29,36,2023-11-12,2.08,1,179,33,STR-491439
653014464547095412,Newly renovated -2 Bedroom Condo,382384906,Allan,,South Boston,42.32917,-71.0533,Entire home/apt,285,29,12,2023-10-22,0.63,1,308,8,STR-485180
654325978201330153,Recently Renovated unit- 15 minutes from the beach,180928945,Makeita,,Dorchester,42.27961793691758,-71.07573558137535,Entire home/apt,117,28,0,,,1,358,0,STR-476409
655514870814006563,"Blueground | South End, nr t, shops & dining",107434423,Blueground,,Roxbury,42.33999439999999,-71.0814304,Entire home/apt,116,32,0,,,372,329,0,
655515158683197472,"Blueground | Symphony, next door to laundry",107434423,Blueground,,Fenway,42.3438654,-71.0880786,Entire home/apt,137,32,1,2023-05-07,0.09,372,245,1,
655515533603303924,"Blueground | Fenway, laundry & gym",107434423,Blueground,,Fenway,42.3441154,-71.0995393,Entire home/apt,162,32,1,2023-09-03,0.15,372,341,1,
